slug,title,rank,match,pmid,candidate_title,journal,year,url,status
alpha-lipoic-acid-lifters-insulin,Alpha Lipoic Acid for Lifters: The Complete Guide to Insulin Sensitivity and Recovery,,,,,,,,no-pubmed-result
alternatives-to-rp-hypertrophy-app,Alternatives to RP Hypertrophy App (2026): Best Options for Serious Lifters,,,,,,,,no-pubmed-result
apply-hypertrophy-research-training-practical-guide,How to Apply Hypertrophy Research to Your Training: A Practical Guide,,,,,,,,no-pubmed-result
astaxanthin-supplementation-athletes,Astaxanthin Supplementation for Athletes: The Science Behind the Pink Powerhouse,,,,,,,,no-pubmed-result
auto-progression-feature-muscle-growth,Auto-Progression: Turn Workout History Into a Next-Set Plan,,,,,,,,no-pubmed-result
autoprogression-science-2026,Autoprogression: How Training Apps Suggest the Next Load,,,,,,,,no-pubmed-result
beetroot-juice-nitrates-muscle-performance,Beetroot Juice Nitrates: The Science Behind Muscle Performance,1,0.29,40369047,"Single and combined effect of beetroot juice and caffeine intake on muscular strength, power and endurance performance in resistance-trained males.",Scientific reports,2025 May 14,https://pubmed.ncbi.nlm.nih.gov/40369047/,weak-match-review
beetroot-juice-nitrates-muscle-performance,Beetroot Juice Nitrates: The Science Behind Muscle Performance,2,0.24,36401662,"Beetroot juice ingestion does not improve neuromuscular performance and match-play demands in elite female hockey players: a randomized, double-blind, placebo-controlled study.",European journal of nutrition,2023 Apr,https://pubmed.ncbi.nlm.nih.gov/36401662/,weak-match-review
beetroot-juice-nitrates-muscle-performance,Beetroot Juice Nitrates: The Science Behind Muscle Performance,3,0.21,41470898,Beetroot Juice Supplementation as a Healthy Aging Strategy Through Improving Physical Performance and Cognitive Functions: A Systematic Review.,Nutrients,2025 Dec 17,https://pubmed.ncbi.nlm.nih.gov/41470898/,weak-match-review
bench-press-grip-width-chest-science,The Best Grip Width for Bench Press: What the Science Says,1,0.24,39178098,Influence of Grip Width on the Load-Velocity Relationship and 1 Repetition Maximum Value in the Bench Press Exercise: A Comparative and Reliability Analysis of Mean Velocity Vs. Mean Propulsive Velocity Vs. Peak Velocity.,Journal of strength and conditioning research,2024 Dec 1,https://pubmed.ncbi.nlm.nih.gov/39178098/,weak-match-review
best-supplements-strength-athletes,Best Supplements for Strength Athletes: Evidence-Based Rankings,,,,,,,,no-pubmed-result
beta-ecdysterone-muscle-anabolic-research,Beta-Ecdysterone for Muscle Growth: Research Review,,,,,,,,no-pubmed-result
beta-ecdysterone-muscle-growth,Beta-Ecdysterone for Muscle Growth: The Complete Guide,1,0.22,34207569,Urinary Elimination of Ecdysterone and Its Metabolites Following a Single-Dose Administration in Humans.,Metabolites,2021 Jun 9,https://pubmed.ncbi.nlm.nih.gov/34207569/,weak-match-review
beta-ecdysterone-muscle-growth,Beta-Ecdysterone for Muscle Growth: The Complete Guide,2,0.20,33192507,"An Arthropod Hormone, Ecdysterone, Inhibits the Growth of Breast Cancer Cells via Different Mechanisms.",Frontiers in pharmacology,2020,https://pubmed.ncbi.nlm.nih.gov/33192507/,weak-match-review
beta-ecdysterone-muscle-growth,Beta-Ecdysterone for Muscle Growth: The Complete Guide,3,0.18,803716,Influence of ecdysterone on the growth of cells and synthesis of macromolecules in established cell lines of Drosophila melanogaster.,The Soviet journal of developmental biology,1975 Jan,https://pubmed.ncbi.nlm.nih.gov/803716/,weak-match-review
betaine-supplementation-strength-power-science,Betaine Supplementation: The Underrated Muscle Builder?,,,,,,,,no-pubmed-result
block-periodization-focused-training-phases,Block Periodization: The Science of Focused Training Phases,,,,,,,,no-pubmed-result
blood-glucose-monitoring-lifters-cgm-muscle-building,Blood Glucose Monitoring for Lifters: A Science-Based Guide,,,,,,,,no-pubmed-result
body-types-science-fitness-2026,Body Types in 2026: Science or Just a Convenient Excuse?,,,,,,,,no-pubmed-result
bone-density-resistance-training-science,Bone Density and Resistance Training: The Science of Stronger Bones,1,0.46,42578477,"A systematic review and meta-analysis of the effects of high-intensity, impact, and strength training on bone mineral density in premenopausal and postmenopausal women.","Menopause (New York, N.Y.)",2026 Aug 11,https://pubmed.ncbi.nlm.nih.gov/42578477/,weak-match-review
bone-density-resistance-training-science,Bone Density and Resistance Training: The Science of Stronger Bones,2,0.33,15293517,Leptin and bone metabolism.,Journal of nephrology,2004 Mar-Apr,https://pubmed.ncbi.nlm.nih.gov/15293517/,weak-match-review
bone-density-resistance-training-science,Bone Density and Resistance Training: The Science of Stronger Bones,3,0.29,42489061,Comparing aerobic and resistance training in estrogen deficiency: bone and muscle adaptations.,Climacteric : the journal of the International Menopause Society,2026 Jul 23,https://pubmed.ncbi.nlm.nih.gov/42489061/,weak-match-review
bpc-157-peptide-science-recovery-evidence,BPC-157: The Peptide Hype vs What Science Actually Says,1,0.33,11393510,The latest hype on Hyp-O-glycosylation codes.,Phytochemistry,2001 Jun,https://pubmed.ncbi.nlm.nih.gov/11393510/,weak-match-review
bpc-157-peptide-science-recovery-evidence,BPC-157: The Peptide Hype vs What Science Actually Says,2,0.22,40589055,Glucagon-like peptide-1 receptor agonists in neuropathic pain: hype or hope?,The Korean journal of pain,2025 Jul 1,https://pubmed.ncbi.nlm.nih.gov/40589055/,weak-match-review
bpc-157-peptide-science-recovery-evidence,BPC-157: The Peptide Hype vs What Science Actually Says,3,0.20,11286604,Cardiac natriuretic peptides--hope or hype?,Journal of clinical pharmacy and therapeutics,2001 Feb,https://pubmed.ncbi.nlm.nih.gov/11286604/,weak-match-review
building-muscle-budget-protein-sources,Building Muscle on a Budget: The Science of Cheap Protein Sources,1,0.23,34817110,Oligo Pools as an Affordable Source of Synthetic DNA for Cost-Effective Library Construction in Protein- and Metabolic Pathway Engineering.,Chembiochem : a European journal of chemical biology,2022 Apr 5,https://pubmed.ncbi.nlm.nih.gov/34817110/,weak-match-review
building-muscle-budget-protein-sources,Building Muscle on a Budget: The Science of Cheap Protein Sources,2,0.12,41495606,"Moringa stenopetala Leaves and Cafeteria Leftover as Nonconventional Supplements in the Diets of Local Gamo Sheep: Nutrient Utilization, Growth Performance and Economic Efficiency.",Veterinary medicine and science,2026 Jan,https://pubmed.ncbi.nlm.nih.gov/41495606/,weak-match-review
caffeine-pre-workout-science-2026,Caffeine and Pre-Workout: What Science Actually Says in 2026,,,,,,,,no-pubmed-result
calf-muscle-hypertrophy-training-science,The Science of Growing Calves: Why They're So Stubborn and How to Fix It,,,,,,,,no-pubmed-result
chronotype-training-optimization,Chronotype Training: Match Your Workout to Your Biological Clock,,,,,,,,no-pubmed-result
circadian-training-timing-muscle-growth,Training at Night vs Morning: Circadian Rhythm Impact on Muscle Growth,1,0.25,26098366,Redox rhythm reinforces the circadian clock to gate immune response.,Nature,2015 Jul 23,https://pubmed.ncbi.nlm.nih.gov/26098366/,weak-match-review
circadian-training-timing-muscle-growth,Training at Night vs Morning: Circadian Rhythm Impact on Muscle Growth,2,0.20,26626473,Neuroendocrine Profile in the Night Eating Syndrome.,Current obesity reports,2014 Mar,https://pubmed.ncbi.nlm.nih.gov/26626473/,weak-match-review
circadian-training-timing-muscle-growth,Training at Night vs Morning: Circadian Rhythm Impact on Muscle Growth,3,0.17,34856769,"Circadian rhythms, cardiac arrhythmias and sudden death.",Frontiers in bioscience (Landmark edition),2021 Nov 30,https://pubmed.ncbi.nlm.nih.gov/34856769/,weak-match-review
citrulline-malate-pre-workout-science-2026,Citrulline Malate: The Pre-Workout Supplement That Actually Works,,,,,,,,no-pubmed-result
citrulline-supplementation-strength-training,Citrulline Supplementation for Strength Training: The Pump Amino Science,1,0.00,35859621,"New perspectives for investigating muscular perfusion response after dietary supplement intake: an exploratory, randomized, double-blind, placebo-controlled crossover trial in healthy young athletes using contrast-enhanced ultrasound (CEUS).",Journal of the International Society of Sports Nutrition,2022,https://pubmed.ncbi.nlm.nih.gov/35859621/,weak-match-review
co2-tolerance-training-strength-lifts,CO2 Tolerance Training: The Breathing Hack for Stronger Lifts,,,,,,,,no-pubmed-result
